,date,result,teams,score,formation
3,"Sep 15, 2018 ",W,"[Real Sociedad , Barcelona]",1 - 2,433
4,"Sep 18, 2018 ",W,"[Barcelona, PSV ]",4 - 0,433
5,"Sep 23, 2018 ",D,"[Barcelona , Girona ]",2 - 2,433
6,"Sep 26, 2018 ",L,"[Leganés, Barcelona ]",2 - 1,433
7,"Sep 29, 2018 ",D,"[Barcelona , Athletic ]",1 - 1,433
8,"Oct 3, 2018 ",W,"[Tottenham , Barcelona]",2 - 4,433
9,"Oct 7, 2018 ",D,"[Valencia , Barcelona ]",1 - 1,433
10,"Oct 20, 2018 ",W,"[Barcelona, Sevilla FC ]",4 - 2,433
11,"Oct 24, 2018 ",W,"[Barcelona, Inter ]",2 - 0,433
12,"Oct 28, 2018 ",W,"[Barcelona, Real Madrid ]",5 - 1,433
13,"Oct 31, 2018 ",W,"[Leonesa , Barcelona]",0 - 1,433
14,"Nov 3, 2018 ",W,"[Rayo Vallecano , Barcelona]",2 - 3,433
15,"Nov 6, 2018 ",D,"[Inter , Barcelona ]",1 - 1,433
16,"Nov 11, 2018 ",L,"[Barcelona , Real Betis]",3 - 4,433
17,"Nov 24, 2018 ",D,"[Atletico Madrid , Barcelona ]",1 - 1,442
18,"Nov 28, 2018 ",W,"[PSV , Barcelona]",1 - 2,433
19,"Dec 2, 2018 ",W,"[Barcelona, Villarreal ]",2 - 0,4141
20,"Dec 5, 2018 ",W,"[Barcelona, Leonesa  ]",4 - 1,433
21,"Dec 8, 2018 ",W,"[Espanyol , Barcelona]",0 - 4,433
22,"Dec 11, 2018 ",D,"[Barcelona , Tottenham ]",1 - 1,433
23,"Dec 16, 2018 ",W,"[Levante , Barcelona]",0 - 5,352
24,"Dec 22, 2018 ",W,"[Barcelona, Celta ]",2 - 0,433
25,"Jan 6, 2019 ",W,"[Getafe , Barcelona]",1 - 2,433
26,"Jan 10, 2019 ",L,"[Levante, Barcelona ]",2 - 1,3421
27,"Jan 13, 2019 ",W,"[Barcelona, Eibar ]",3 - 0,433
28,"Jan 17, 2019 ",W,"[Barcelona, Levante ]",3 - 0,433
29,"Jan 20, 2019 ",W,"[Barcelona, Leganés ]",3 - 1,433
30,"Jan 23, 2019 ",L,"[Sevilla FC, Barcelona ]",2 - 0,433
31,"Jan 27, 2019 ",W,"[Girona , Barcelona]",0 - 2,433
32,"Jan 30, 2019 ",W,"[Barcelona, Sevilla FC ]",6 - 1,433
33,"Feb 2, 2019 ",D,"[Barcelona , Valencia ]",2 - 2,433
34,"Feb 6, 2019 ",D,"[Barcelona , Real Madrid ]",1 - 1,433
35,"Feb 10, 2019 ",D,"[Athletic , Barcelona ]",0 - 0,433
36,"Feb 16, 2019 ",W,"[Barcelona, Valladolid ]",1 - 0,433
37,"Feb 19, 2019 ",D,"[Lyon , Barcelona ]",0 - 0,433
38,"Feb 23, 2019 ",W,"[Sevilla FC , Barcelona]",2 - 4,433
39,"Feb 27, 2019 ",W,"[Real Madrid , Barcelona]",0 - 3,442
40,"Mar 2, 2019 ",W,"[Real Madrid , Barcelona]",0 - 1,433
41,"Mar 9, 2019 ",W,"[Barcelona, Rayo Vallecano ]",3 - 1,433
42,"Mar 13, 2019 ",W,"[Barcelona, Lyon ]",5 - 1,433
43,"Mar 17, 2019 ",W,"[Real Betis , Barcelona]",1 - 4,442
44,"Mar 30, 2019 ",W,"[Barcelona, Espanyol ]",2 - 0,433
45,"Apr 2, 2019 ",D,"[Villarreal , Barcelona ]",4 - 4,433
46,"Apr 6, 2019 ",W,"[Barcelona, Atletico Madrid ]",2 - 0,433
47,"Apr 10, 2019 ",W,"[Man Utd , Barcelona]",0 - 1,433
48,"Apr 13, 2019 ",D,"[Huesca , Barcelona ]",0 - 0,3142
49,"Apr 16, 2019 ",W,"[Barcelona, Man Utd ]",3 - 0,433
50,"Apr 20, 2019 ",W,"[Barcelona, Real Sociedad ]",2 - 1,433
51,"Apr 23, 2019 ",W,"[Alavés , Barcelona]",0 - 2,433
52,"Apr 27, 2019 ",W,"[Barcelona, Levante ]",1 - 0,433
53,"May 1, 2019 ",W,"[Barcelona, Liverpool ]",3 - 0,433
54,"May 4, 2019 ",L,"[Celta, Barcelona ]",2 - 0,433
55,"May 7, 2019 ",L,"[Liverpool, Barcelona ]",4 - 0,442
56,"May 12, 2019 ",W,"[Barcelona, Getafe ]",2 - 0,433
57,"May 19, 2019 ",D,"[Eibar , Barcelona ]",2 - 2,433
58,"May 25, 2019 ",L,"[Barcelona , Valencia]",1 - 2,4141
0,"Aug 16, 2017 ",L,"[Real Madrid, Barcelona ]",2 - 0,352
1,"Aug 20, 2017 ",W,"[Barcelona, Real Betis ]",2 - 0,4411
2,"Aug 26, 2017 ",W,"[Alavés , Barcelona]",0 - 2,433
3,"Sep 9, 2017 ",W,"[Barcelona, Espanyol ]",5 - 0,442
4,"Sep 12, 2017 ",W,"[Barcelona, Juventus ]",3 - 0,433
